,Address,Borough,Geocode,Node
1328,"2494 Frederick Douglass Boulevard, New York City",Manhattan,"(40.81531475, -73.94705779543477)",42434113
1329,"2230 5th Avenue, New York City",Manhattan,"(40.813302199999995, -73.93783035000001)",2328595430
1330,"35 E. 125th Street, New York City",Manhattan,"(40.806144700000004, -73.94089974978604)",4207752449
1331,"451 E. 116th Street, New York City",Manhattan,"(40.7953466, -73.9334421)",6216836416
1332,"1395 & 1397 3rd Avenue, New York City",Manhattan,"(40.774455, -73.95704566666667)",42450015
1334,"2541 Adam Clayton Powell Boulevard, New York City",Manhattan,"(40.823554, -73.937335)",2141026548
1335,"170 Central Park West, New York City",Manhattan,"(40.7792489, -73.97430375753298)",7104620795
1336,"100 W. 72nd Street, New York City",Manhattan,"(40.7773669, -73.9790823)",42443336
1337,"20 Lincoln Center Plaza, New York City",Manhattan,"(40.772293, -73.984)",6469210523
1338,"St. Catherine's Park, New York City",Manhattan,"(40.76521615, -73.95874790496603)",6670244862
1339,"1373 3rd Avenue, New York City",Manhattan,"(40.77379536363637, -73.95752672727274)",42436919
1341,"921 Lexington Avenue, New York City",Manhattan,"(40.7676487, -73.9640538)",3278932316
1342,"841 Broadway, New York City",Manhattan,"(40.7342936, -73.991043)",4762558057
1343,"202 W. 23rd Street, New York City",Manhattan,"(40.7440388, -73.9959159)",42437890
1344,"330 Hudson Street, New York City",Manhattan,"(40.72697097562124, -74.00726641549322)",42436364
1345,"721 Broadway, New York City",Manhattan,"(40.7294608, -73.9935691)",4755898682
1346,"721 Broadway, New York City",Manhattan,"(40.7294608, -73.9935691)",4755898682
1347,"7 E. 7th Street, New York City",Manhattan,"(40.728892571428574, -73.99004928571429)",42434196
1358,"250 1st Avenue, New York City",Manhattan,"(40.731747, -73.9816901)",7144880468
1359,"2266 & 2268 1st Avenue, New York City",Manhattan,"(40.7491699, -73.9695067)",6162215869
1360,"2266 & 2268 1st Avenue, New York City",Manhattan,"(40.7491699, -73.9695067)",6162215869
1361,"703 Columbus Avenue, New York City",Manhattan,"(40.7763737, -73.9795719)",4207884929
1362,"703 Columbus Avenue, New York City",Manhattan,"(40.7763737, -73.9795719)",4207884929
1363,"703 Columbus Avenue, New York City",Manhattan,"(40.7763737, -73.9795719)",4207884929
1365,"3740 Broadway, New York City",Manhattan,"(40.8329495, -73.9453543)",561035370
1367,"65 5th Avenue, New York City",Manhattan,"(40.68060895, -73.9772910420412)",5956060042
1369,"Washington Market Park, New York City",Manhattan,"(40.7171769, -74.01131381547653)",4574685153
1372,"449 West 14th Street, New York City",Manhattan,"(40.7422461, -74.00720217455734)",2823833430
1373,"118 Avenue D, New York City",Manhattan,"(40.72383635, -73.97538826932113)",4301088403
1374,"90 Avenue D, New York City",Manhattan,"(40.7229042, -73.97598526788781)",4301088436
1376,"393 Lafayette Street, New York City",Manhattan,"(40.7279746, -73.9928325)",5784518537
1377,"80 5th Avenue, New York City",Manhattan,"(40.7358709, -73.9939317)",42440710
1378,"83 University Place, New York City",Manhattan,"(40.733444399999996, -73.9930724)",42455026
1379,"215 Centre Street, New York City",Manhattan,"(40.7194172, -73.9990481)",42427322
1382,"4712 Broadway, New York City",Manhattan,"(40.8644384, -73.9289118)",1209576642
1384,"Holcombe Rucker Park, New York City",Manhattan,"(40.829248, -73.936084)",2140984897
1386,"357 East 57th Street, New York City",Manhattan,"(40.7586119, -73.963244)",6263094844
1396,"431 West 204th Street, New York City",Manhattan,"(40.86212420408163, -73.91902006122449)",42445051
1407,"225 Park Row, New York City",Manhattan,"(40.7132119, -73.9987642)",4158810017
1410,"4781 Broadway, New York City",Manhattan,"(40.8660234, -73.9263458)",42429216
1412,"1311 St. Nicholas Avenue, New York City",Manhattan,"(40.8459067, -73.9364536)",7604384201
1413,"180 Park Row, New York City",Manhattan,"(40.713616200000004, -73.9995733272708)",7477038791
1419,"1313 St Nicholas Avenue, New York City",Manhattan,"(40.8459878, -73.9363993)",7604384201
1420,"770 W 181st Street, New York City",Manhattan,"(40.8507172, -73.9381473)",42427190
1421,"1275 York Ave, New York City",Manhattan,"(40.76445335, -73.95694407847097)",6670244843
1422,"417 E 67th Street, New York City",Manhattan,"(40.76449348979592, -73.95780697959184)",42437451
1428,"10 Union Square East, New York City",Manhattan,"(40.734864, -73.9897882)",4205565498
1430,"1802 Amsterdam Avenue, New York City",Manhattan,"(40.8280539, -73.94588936261376)",42434340
1432,"1573 Madison Avenue, New York City",Manhattan,"(40.7937647, -73.94846361940029)",6256723701
1440,"W 155th Street & Edgecombe Avenue, New York City",Manhattan,"(40.830368, -73.939648)",42439802
1449,"550 1st Avenue, New York City",Manhattan,"(40.74207345000001, -73.97433663105951)",6716668059
1456,"61 E 106th Street, New York City",Manhattan,"(40.7931310625, -73.94860244791667)",6254651546
1490,"1 E 86th Street, New York City",Manhattan,"(40.781544, -73.960221)",3809521028
1491,"689 Columbus Avenue, New York City",Manhattan,"(40.7910736, -73.9685344)",3718670415
1509,"340 Haven Avenue, New York City",Manhattan,"(40.85076758064516, -73.94184561290322)",60929091
1512,"306 Fort Washington Avenue, New York City",Manhattan,"(40.84550725, -73.94009470674837)",7604384508
1513,"560 169th Street, New York City",Manhattan,"(40.7729468, -73.7956319)",5105109969
1534,"34 W. 118th Street, New York City",Manhattan,"(40.803013, -73.9482546)",7004372907
1535,"197 East Broadway, New York City",Manhattan,"(40.714085, -73.9884117)",42433550
1536,"38 Delancey Street, New York City",Manhattan,"(40.7199324, -73.9918334)",5159452352
1537,"166 Essex Street, New York City",Manhattan,"(40.72151955, -73.98616710510933)",4598752844
1538,"185 1st Avenue, New York City",Manhattan,"(40.729879350000004, -73.98442462406862)",3834459533
1539,"776 6th Avenue, New York City",Manhattan,"(40.7452192, -73.9908474)",42430279
1541,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1542,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1543,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1544,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1545,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1546,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1547,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1548,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1549,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1550,"4140 Broadway, New York City",Manhattan,"(40.846348, -73.9382109)",7604384311
1552,"230 Grand Street, New York City",Manhattan,"(40.7186498, -73.9949875)",5805243785
1553,"199 Chambers Street, New York City",Manhattan,"(40.7172487, -74.0121804)",1412696734
1554,"885 Columbus Avenue, New York City",Manhattan,"(40.7973557, -73.9637562)",7571274563
1555,"225 W 99th Street, New York City",Manhattan,"(40.79633975, -73.96910278615664)",6207264925
1564,"423 E 23rd Street, New York City",Manhattan,"(40.73707015, -73.97689809524734)",5356791600
1565,"345 E 101st Street, New York City",Manhattan,"(40.78673, -73.942672)",6190264208
1566,"440 E 116th Street, New York City",Manhattan,"(40.795533488474334, -73.934515612134)",5482321447
1575,"510 W 145th Street, New York City",Manhattan,"(40.82540565, -73.9487212)",42434262
1576,"475 W 155th Street, New York City",Manhattan,"(40.831546, -73.9424038)",42442651
1577,"669 Lenox Avenue, New York City",Manhattan,"(40.819649850000005, -73.93729227329364)",4207863941
1578,"2289 5th Avenue, New York City",Manhattan,"(40.8149008, -73.9357808)",5378686575
1579,"110 W 146th Street, New York City",Manhattan,"(40.8212046122449, -73.93620091836735)",5478861082
1588,"1420 St Nicholas Avenue, New York City",Manhattan,"(40.849032, -73.9337162)",5403858700
1589,"1420 St Nicholas Avenue, New York City",Manhattan,"(40.849032, -73.9337162)",5403858700
1622,"1795 Lexington Avenue, New York City",Manhattan,"(40.7956936, -73.94348833748006)",7096519006
1656,"247 3rd Avenue, New York City",Manhattan,"(40.7370451, -73.9840955)",4132605204
1659,"23 Chambers Street, New York City",Manhattan,"(40.71340747058823, -74.00445458823529)",6152111541
1694,"1989 Amsterdam Avenue, New York City",Manhattan,"(40.83367655, -73.94108845225965)",42442659
1695,"3542 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
1696,"185 E 126th Street, New York City",Manhattan,"(40.80464175, -73.93574525)",42434131
1697,"2059 Adam Clayton Powell Jr. Blvd, New York City",Manhattan,"(40.80746, -73.9491088)",2141026538
1698,"2027 Adam Clayton Powell Jr. Blvd, New York City",Manhattan,"(40.8065824, -73.9497363)",2141026510
1754,"1539 St. Nicholas Avenue, New York City",Manhattan,"(40.852995, -73.9312656)",5403868149
1755,"3575 Broadway, New York City",Manhattan,"(40.8276573, -73.9498778)",42428936
1756,"3906 Broadway, New York City",Manhattan,"(40.837889, -73.9417509)",561035378
1757,"600 W. 181st Street, New York City",Manhattan,"(40.849309, -73.933926)",5403873760
1758,"4239 Broadway, New York City",Manhattan,"(40.8493427, -73.9368721)",42429023
1759,"111 Wadsworth Avenue, New York City",Manhattan,"(40.8481368, -73.9359909)",595473148
1760,"1471 St. Nicholas Avenue, New York City",Manhattan,"(40.8509989, -73.9327273)",5403873747
1762,"1602 St. Nicholas Avenue, New York City",Manhattan,"(40.855039, -73.9293166)",5403868140
1763,"4180 Broadway, New York City",Manhattan,"(40.847905, -73.9376831)",42429013
1764,"618 W. 177th Street, New York City",Manhattan,"(40.8470868, -73.9367343)",42449631
1765,"289 Columbus Avenue, New York City",Manhattan,"(40.7784303, -73.9778128)",3341849126
1766,"440 Amsterdam Avenue, New York City",Manhattan,"(40.7846357, -73.9774823)",6207264910
1767,"1970 Amsterdam Avenue, New York City",Manhattan,"(40.8333095, -73.9420282)",42442659
1768,"1949 Amsterdam Avenue, New York City",Manhattan,"(40.8325681, -73.9419398)",42442656
1769,"1983 Amsterdam Avenue, New York City",Manhattan,"(40.83360066666666, -73.94136955555555)",42442659
1770,"1865 Amsterdam Avenue, New York City",Manhattan,"(40.8297178, -73.9440995)",42442642
1776,"158 Columbus Avenue, New York City",Manhattan,"(40.774375, -73.98113)",4557495130
1777,"144 Columbus Avenue, New York City",Manhattan,"(40.77407135714286, -73.9813522857143)",6173564345
1778,"953 Columbus Avenue, New York City",Manhattan,"(40.7996425, -73.96223298003244)",3718670405
1783,"620 Fort Washington Avenue, New York City",Manhattan,"(40.8554067, -73.9366207)",5883533037
1793,"158 E 115th Street, New York City",Manhattan,"(40.79761115, -73.94178672164708)",7096507164
1794,"245 E. 80th Street, New York City",Manhattan,"(40.7742277, -73.9547887)",42438506
1795,"1479 3rd Avenue, New York City",Manhattan,"(40.7772371, -73.9549131)",42435514
1796,"1681 1st Avenue, New York City",Manhattan,"(40.7777449, -73.9490289)",6263083529
1857,"162 Bowery, New York City",Manhattan,"(40.72009015, -73.99451425469812)",6902711854
1858,"162 Bowery, New York City",Manhattan,"(40.72009015, -73.99451425469812)",6902711854
1859,"200 Centre Street, New York City",Manhattan,"(40.719057875000004, -73.9989895)",42427322
1860,"234 Canal Street, New York City",Manhattan,"(40.7175745, -73.9998835)",42427311
1861,"Manhattan Bridge approach, New York City",Manhattan,"(40.707767, -73.990772)",42444129
1862,"Manhattan Bridge approach, New York City",Manhattan,"(40.707767, -73.990772)",42444129
1863,"Manhattan Bridge approach, New York City",Manhattan,"(40.707767, -73.990772)",42444129
1864,"Manhattan Bridge approach, New York City",Manhattan,"(40.707767, -73.990772)",42444129
1880,"1952 2nd Avenue, New York City",Manhattan,"(40.78698405, -73.94468865158427)",7132831134
1881,"1924 2nd Avenue, New York City",Manhattan,"(40.7862742, -73.94526115307521)",6181708480
1882,"1900 2nd Avenue, New York City",Manhattan,"(40.7854096, -73.9458364)",6181709411
1883,"1748 2nd Avenue, New York City",Manhattan,"(40.7810928, -73.9491779)",6214889039
1884,"1704 2nd Avenue, New York City",Manhattan,"(40.7793135, -73.95032174564167)",7134855797
1885,"1690 2nd Avenue, New York City",Manhattan,"(40.7786489, -73.9508546)",7134855810
1886,"303 E 83rd Street, New York City",Manhattan,"(40.625719979591835, -74.02991393877551)",4206998237
1887,"1446 2nd Avenue, New York City",Manhattan,"(40.7709159, -73.9566299)",6176390171
1888,"1396 2nd Avenue, New York City",Manhattan,"(40.7688866, -73.958037)",4207313512
1889,"1328 2nd Avenue, New York City",Manhattan,"(40.7677329, -73.9589179)",7064022528
1890,"1310 2nd Avenue, New York City",Manhattan,"(40.7667014, -73.9596779)",6176390173
1891,"300 E 68th Street, New York City",Manhattan,"(40.7660283, -73.9600655)",6670244879
1892,"1955 2nd Avenue, New York City",Manhattan,"(40.7873345, -73.94546795863602)",3519874162
1893,"1955 2nd Avenue, New York City",Manhattan,"(40.7873345, -73.94546795863602)",3519874162
1894,"1879 2nd Avenue, New York City",Manhattan,"(40.749529, -73.9724222)",6139477278
1895,"245 E 93rd Street, New York City",Manhattan,"(40.7827156, -73.9484523)",6181480051
1896,"245 E 92nd Street, New York City",Manhattan,"(40.7818565, -73.9491014)",6185259906
1897,"1659 2nd Avenue, New York City",Manhattan,"(40.7782295, -73.9517083)",6139477295
1898,"1617 2nd Avenue, New York City",Manhattan,"(40.749529, -73.9724222)",6139477278
1899,"1603 2nd Avenue, New York City",Manhattan,"(40.7761403, -73.9532229)",42443032
1900,"1399 2nd Avenue, New York City",Manhattan,"(40.769443, -73.958137)",3382948111
1901,"259 E 72nd Street, New York City",Manhattan,"(40.7690141, -73.958456)",4207313513
1902,"260 E 72nd Street, New York City",Manhattan,"(40.7687631, -73.9587039)",4207313511
1912,"308 E. 109th Street, New York City",Manhattan,"(40.7922068, -73.94067849612146)",6918710130
1913,"308 E. 109th Street, New York City",Manhattan,"(40.7922068, -73.94067849612146)",6918710130
1921,"1299 1st Avenue, New York City",Manhattan,"(40.7664668, -73.9571909)",6670244849
1922,"1208 1st Avenue, New York City",Manhattan,"(40.763842, -73.958766)",42447237
1923,"407 E 59th Street, New York City",Manhattan,"(40.75918297979798, -73.9607217070707)",5120300515
1924,"1295 5th Avenue, New York City",Manhattan,"(40.796832, -73.9485767)",6961065599
1925,"185 E 115th Street, New York City",Manhattan,"(40.797632050000004, -73.94096335937058)",4983782408
1926,"410 E 106th Street, New York City",Manhattan,"(40.7892489, -73.9398139)",6268628340
1944,"1175 3rd Avenue, New York City",Manhattan,"(40.7673011, -73.9621657)",6670248391
1945,"1100 2nd Avenue, New York City",Manhattan,"(40.7595981, -73.964847)",6188803951
1946,"1065 2nd Avenue, New York City",Manhattan,"(40.749529, -73.9724222)",6139477278
1947,"10 Lincoln Center Plaza, New York City",Manhattan,"(40.772838, -73.983241)",3371135656
1949,"540 Amsterdam Avenue, New York City",Manhattan,"(40.7881307, -73.9749545)",6207264911
1950,"509 Amsterdam Avenue, New York City",Manhattan,"(40.78659605, -73.97543040462799)",42442475
1951,"621 Amsterdam Avenue, New York City",Manhattan,"(40.79002716666666, -73.97318133333333)",42437052
1965,"393 E 10th Street, New York City",Manhattan,"(40.7260567, -73.9777383)",42430938
1966,"500 E 63rd Street, New York City",Manhattan,"(40.7609167, -73.957725)",4918486798
1967,"2394 Adam Clayton Powell Jr Blvd, New York City",Manhattan,"(40.8184016, -73.9417655)",5378420478
1975,"409 E 14th Street, New York City",Manhattan,"(40.6633214375, -73.98272006250001)",5956060042
1978,"298 E 91st Street, New York City",Manhattan,"(40.619962, -74.032661)",4206998237
1980,"103 W 96th Street, New York City",Manhattan,"(40.7932026, -73.9678437)",7061136330
1984,"1190 York Avenue, New York City",Manhattan,"(40.761857, -73.957268)",4649002713
1985,"403 East 34th Street, New York City",Manhattan,"(40.7434467, -73.9722189)",4290989488
2003,"555 10th Avenue, New York City",Manhattan,"(40.759129, -73.995959)",5851709100
2004,"1456 First Avenue, New York City",Manhattan,"(42.8021386, -73.9528461)",42735471
2005,"1313 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
2015,"660 Columbus Avenue, New York City",Manhattan,"(40.7905141, -73.9695116)",4215936664
2023,"298 First Avenue, New York City",Manhattan,"(40.733484, -73.980689)",4298764914
2044,"301 Henry Street, New York City",Manhattan,"(40.7142471, -73.98271541760576)",7499128116
2045,"43 Columbia Street, New York City",Manhattan,"(40.7166, -73.980615)",5174909935
2049,"1900 Lexington Avenue, New York City",Manhattan,"(40.8002606, -73.9407062)",42439489
2055,"169 Thompson Street, New York City",Manhattan,"(40.7276892, -74.0004432)",5829827199
2059,"183 Seventh Avenue, New York City",Manhattan,"(40.742792, -73.996511)",42439836
2062,"458 West 155th Street, New York City",Manhattan,"(40.831087875, -73.94206062500001)",42432985
2066,"460 West 155th Street, New York City",Manhattan,"(40.8309862, -73.94222637923403)",42432985
2068,"2401 Broadway, New York City",Manhattan,"(40.7898813, -73.9755907)",42428682
2069,"179 Henry Street, New York City",Manhattan,"(40.7136361, -73.9882488)",42435925
2089,"276 Avenue C, New York City",Manhattan,"(40.7300519, -73.9743217)",1989931107
2103,"566 10th Avenue, New York City",Manhattan,"(40.75934813043478, -73.99555295652173)",42437371
2109,"328 East 67th Street, New York City",Manhattan,"(40.63741185714286, -74.02437499999999)",701654214
2119,"123 East 86th Street, New York City",Manhattan,"(40.7799737, -73.95594939361123)",42429334
2120,"123 East 86th Street, New York City",Manhattan,"(40.7799737, -73.95594939361123)",42429334
2121,"144 East 86th Street, New York City",Manhattan,"(40.7791322, -73.9552248)",5402547523
2122,"144 East 86th Street, New York City",Manhattan,"(40.7791322, -73.9552248)",5402547523
2123,"173 East 86th Street, New York City",Manhattan,"(40.7791237, -73.9542932)",42429338
2124,"173 East 86th Street, New York City",Manhattan,"(40.7791237, -73.9542932)",42429338
2125,"173 East 86th Street, New York City",Manhattan,"(40.7791237, -73.9542932)",42429338
2126,"250 West 61st Street, New York City",Manhattan,"(40.7730379, -73.988928)",3371304372
2127,"401 East 20th Street, New York City",Manhattan,"(40.734824019691914, -73.97975040584122)",387184987
2128,"503 E 20th Street, New York City",Manhattan,"(40.73403935714286, -73.9774955)",4298764923
2129,"1090 Amsterdam Avenue, New York City",Manhattan,"(40.8051825, -73.9624806)",7326861792
2152,"300 East 60th Street, New York City",Manhattan,"(40.641779, -74.020063)",701654214
