,Address,Borough,Geocode,Node
277,"1660 Madison Avenue, New York City",Manhattan,"(40.7965898, -73.94761002770832)",6961054478
278,"1738 - 1740 Lexington Avenue, New York City",Manhattan,"(40.7939192, -73.94518000000001)",5481998073
279,"1738 - 1740 Lexington Avenue, New York City",Manhattan,"(40.7939192, -73.94518000000001)",5481998073
280,"127 East 107th Street, New York City",Manhattan,"(40.7933126, -73.946299)",5481998093
281,"127 East 107th Street, New York City",Manhattan,"(40.7933126, -73.946299)",5481998093
282,"2309 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
283,"108 East 125th Street, New York City",Manhattan,"(40.80488250943396, -73.93884547169812)",42444456
284,"2253 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
285,"455 East 116th Street, New York City",Manhattan,"(40.7952797, -73.9332894)",6216836416
286,"2182 First Avenue, New York City",Manhattan,"(42.8021386, -73.9528461)",42735471
287,"1989 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
288,"808 Columbus Avenue, New York City",Manhattan,"(40.7946572, -73.9666786524559)",6883962735
289,"775 Columbus Avenue, New York City",Manhattan,"(40.793795149999994, -73.96646875162982)",7120513205
290,"819 Columbus Avenue, New York City",Manhattan,"(40.7763737, -73.9795719)",4207884929
291,"830-832 Amsterdam Avenue, New York City",Manhattan,"(40.8004313, -73.9657046)",42421741
292,"65 West 96th Street, New York City",Manhattan,"(40.7929079, -73.9670453)",7066598474
293,"690 Amsterdam Avenue, New York City",Manhattan,"(40.7924914, -73.9717851)",6867294474
294,"541 Amsterdam Avenue, New York City",Manhattan,"(40.787956, -73.9745549)",42434160
295,"506 Amsterdam Avenue, New York City",Manhattan,"(40.7868006, -73.97600882111801)",6207264904
296,"504 Columbus Avenue, New York City",Manhattan,"(40.7763737, -73.9795719)",4207884929
297,"127 West 83rd Street, New York City",Manhattan,"(40.78516875, -73.9745779851913)",42437300
298,"127 Amsterdam Avenue, New York City",Manhattan,"(40.774257, -73.984582)",7050687052
326,"141 West 73rd Street, New York City",Manhattan,"(40.77893605, -73.97980377816265)",5115917332
327,"108 West 24th Street, New York City",Manhattan,"(40.74363625, -73.99309406215008)",42427423
328,"656 6th Avenue, New York City",Manhattan,"(40.741181850000004, -73.99373720689655)",42427371
330,"180 10th Avenue, New York City",Manhattan,"(40.8635998, -73.9195831)",5890982665
339,"617 Second Avenue, New York City",Manhattan,"(40.744852, -73.976229)",3932847281
340,"1350 1st Avenue, New York City",Manhattan,"(40.7491699, -73.9695067)",6162215869
341,"540 West 21st Street, New York City",Manhattan,"(40.74698645, -74.00705641261408)",3874653364
344,"150 East 86th Street, New York City",Manhattan,"(40.7791885, -73.9553419)",5402547523
367,"East Houston and Bowery, New York City",Manhattan,"(40.724333, -73.992682)",5829779500
368,"74 Trinity Place, New York City",Manhattan,"(40.7083423, -74.0127623)",4739552805
