Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Housing Support,CSBG,NDA Healthy Families,The Campaign Against Hunger Inc,Main Office,Brooklyn,2010 Fulton Street,brooklyn,NY,11233,40.67864,-73.91768,Brooklyn CD 003,Ocean Hill,Council District 041 Brooklyn,301,Brooklyn Neighborhood Development Area 016,BK79,3042111,3015490016,POINT (-73.91768 40.67864),13516,69,2,17,52
06/01/2019,Educational Services,SYEP,Older Youth (OY),"Catholic Charities Neighborhood Services, Inc.",CCNS OCEAN BAY COMMUNITY SERVICES,Queens,57-10 Beach Channel Drive,Queens,NY,11692,40.59476,-73.78744,Queens CD 014,Hammels-Arverne-Edgemere,Council District 031 Queens,97203,Queens Neighborhood Development Area 014,QN12,4436449,4160020001,POINT (-73.78744 40.59476),20530,51,3,47,59
06/01/2019,Immigrant Services,CSBG,Seniors,"Neighborhood Self-Help by Older Persons Projects, Inc.",PAL,Queens,109-15 98 STREET,QUEENS,NY,11417,40.6781,-73.83995,NULL,NULL,Council District 32 Queens,86,NULL,QN56,4467457,4091720001,POINT (-73.83995 40.6781),24013,62,3,41,64
06/01/2019,Family Support,Beacon,Beacon,"Jewish Community Center of Staten Island, Inc.",I.S. 49 Bertha Dreyfus School,NULL,101 Warren Street,Staten Island,NY,10304,40.62063,-74.08097,Richmond CD 001,Stapleton-Rosebank,Council District 049 Richmond,,Richmond Neighborhood Development Area 001,NULL,,,POINT (-74.08097 40.62063),10691,4,1,13,74
06/01/2019,Family Support,CSBG,Opportunity Youth Support,"Fund for the City of New York, Inc.",Brownsville Community Justice Center (temporary relocation),Brooklyn,519 Rockaway Avenue,brooklyn,NY,11212,40.66745,-73.91016,Brooklyn CD 016,Brownsville,Council District 041 Brooklyn,906,Brooklyn Neighborhood Development Area 016,BK81,3000000,3035260002,POINT (-73.91016 40.66745),17614,55,2,17,46
06/01/2019,Family Support,CSBG,Housing,Neighborhood Association for Intercultural Affairs Inc,NAICA Housing Services,Bronx,1118 GRAND CONCOURSE,bronx,NY,10456,40.83233,-73.91921,Bronx CD 004,East Concourse-Concourse Village,Council District 016 Bronx,,Bronx Neighborhood Development Area 004,NULL,2101266,2024620039,POINT (-73.91921 40.83233),10934,50,5,42,27
06/01/2019,Housing Support,CSBG,Seniors,Bridge Street Development Corporation,Quincy Senior Residences,Brooklyn,625 Quincy Street,Brooklyn,NY,11221,40.68886,-73.93425,Brooklyn CD 003,Stuyvesant Heights,Council District 036 Brooklyn,291,Brooklyn Neighborhood Development Area 003,BK35,3390995,3016250034,POINT (-73.93425 40.68886),18181,69,2,49,52
06/01/2019,Family Support,CSBG,Fathers aged 18 and over,"United Activities Unlimited, Inc.","United Activities Unlimited, Inc.",NULL,230 Broadway,Staten Island,NY,10310,40.63587,-74.11789,Richmond CD 001,West New Brighton-New Brighton-St. George,Council District 049 Richmond,,Richmond Neighborhood Development Area 001,NULL,,,POINT (-74.11789 40.63587),10697,4,1,13,74
06/01/2019,Educational Services,CSBG,Opportunity Youth Support,ST. NICKS ALLIANCE CORP.,St. Nicks Alliance,Brooklyn,790 Broadway,Brooklyn,NY,11206,40.69998,-73.94064,Brooklyn CD 003,Bushwick South,Council District 036 Brooklyn,28501,Brooklyn Neighborhood Development Area 004,BK78,3042818,3015780014,POINT (-73.94064 40.69998),17213,69,2,49,52
06/01/2019,Educational Services,SYEP,Older Youth (OY),"United Activities Unlimited, Inc.",UAU Mid-Island,Staten Island,278 New Dorp Lane,Staten Island,NY,10306,40.57213,-74.11311,502,NULL,50,134,0,SI45,5057559,5042190049,POINT (-74.11311 40.57213),10693,30,1,14,76
